leg_index,mode,from_stop_id,to_stop_id,arrived_stop_id,completed,departure_time_seconds,arrival_time_seconds,travel_time_seconds,leg_distance_meters,cumulative_distance_meters,planned_path_distance_meters,path_waypoint_count,boarded_count,dropped_off_count,waiting_count,on_board_count,completed_passenger_count
27,matrix_teleport,1,6,6,1,1505.398,1583.16,77.762,1166.424,23747.39,1166.424,0,1,1,2,4,9
28,matrix_teleport,6,5,5,1,1583.16,1618.57,35.41,531.15,24278.54,531.151,0,0,0,2,4,9
29,matrix_teleport,5,1,1,1,1618.57,1674.081,55.511,832.67,25111.21,832.67,0,0,0,2,4,9
30,matrix_teleport,1,5,5,1,1674.081,1740.283,66.202,993.029,26104.24,993.03,0,0,0,3,4,9
31,matrix_teleport,5,4,4,1,1740.283,1783.566,43.283,649.24,26753.48,649.24,0,1,1,2,4,10
32,matrix_teleport,4,7,7,1,1783.566,1844.23,60.664,909.965,27663.45,909.965,0,1,0,1,5,10
33,matrix_teleport,7,5,5,1,1844.23,1909.785,65.555,983.326,28646.78,983.326,0,0,0,2,5,10
34,matrix_teleport,5,2,2,1,1909.785,1995.001,85.216,1278.242,29925.02,1278.242,0,1,2,1,4,12
35,matrix_teleport,2,5,5,1,1995.001,2058.227,63.226,948.393,30873.41,948.392,0,0,0,2,4,12
36,matrix_teleport,5,3,3,1,2058.227,2132.039,73.812,1107.174,31980.58,1107.174,0,1,1,1,4,13
37,matrix_teleport,3,2,2,1,2132.039,2194.387,62.348,935.221,32915.8,935.22,0,0,0,2,4,13
38,matrix_teleport,2,5,5,1,2194.387,2257.613,63.226,948.391,33864.2,948.392,0,1,1,1,4,14
39,matrix_teleport,5,1,1,1,2257.613,2313.124,55.511,832.668,34696.86,832.67,0,1,0,1,5,14
40,matrix_teleport,1,6,6,1,2313.124,2390.886,77.762,1166.426,35863.29,1166.424,0,0,2,1,3,16
41,matrix_teleport,6,8,8,1,2390.886,2432.952,42.066,630.992,36494.28,630.992,0,1,2,0,2,18
42,matrix_teleport,8,1,1,1,2432.952,2512.586,79.634,1194.512,37688.79,1194.51,0,0,1,1,1,19
43,matrix_teleport,1,5,5,1,2512.586,2578.788,66.202,993.031,38681.82,993.03,0,0,0,2,1,19
44,matrix_teleport,5,3,3,1,2578.788,2652.599,73.812,1107.176,39789,1107.174,0,1,1,1,1,20
45,matrix_teleport,3,1,1,1,2652.599,2710.871,58.271,874.074,40663.07,874.073,0,0,1,2,0,21
46,matrix_teleport,1,5,5,1,2710.871,2777.073,66.202,993.031,41656.11,993.03,0,0,0,3,0,21
47,matrix_teleport,5,1,1,1,2777.073,2832.584,55.511,832.668,42488.77,832.67,0,0,0,3,0,21
48,matrix_teleport,1,7,7,1,2832.584,2889.822,57.238,858.563,43347.34,858.563,0,1,0,3,1,21
49,matrix_teleport,7,3,3,1,2889.822,2927.537,37.715,565.731,43913.07,565.731,0,0,0,4,1,21
50,matrix_teleport,3,4,4,1,2927.537,2951.166,23.629,354.438,44267.5,354.438,0,1,1,4,1,22
51,matrix_teleport,4,8,8,1,2951.166,3029.378,78.212,1173.176,45440.68,1173.174,0,1,0,6,2,22
52,matrix_teleport,8,1,1,1,3029.378,3109.012,79.634,1194.512,46635.19,1194.51,0,1,0,5,3,22
53,matrix_teleport,1,6,6,1,3109.012,3186.773,77.762,1166.426,47801.62,1166.424,0,2,0,3,5,22
54,matrix_teleport,6,7,7,1,3186.773,3211.292,24.519,367.781,48169.4,367.783,0,0,1,3,4,23
55,matrix_teleport,7,1,1,1,3211.292,3230.707,19.415,291.227,48460.63,291.226,0,0,1,3,3,24
56,matrix_teleport,1,2,2,1,3230.707,3311.436,80.729,1210.938,49671.56,1210.936,0,1,1,2,3,25
57,matrix_teleport,2,3,3,1,3311.436,3326.842,15.405,231.078,49902.64,231.079,0,1,1,1,3,26
58,matrix_teleport,3,5,5,1,3326.842,3374.662,47.821,717.313,50619.95,717.314,0,1,1,0,3,27
59,matrix_teleport,5,1,1,1,3374.662,3430.174,55.511,832.668,51452.62,832.67,0,0,0,0,3,27
60,matrix_teleport,1,4,4,1,3430.174,3472.184,42.01,630.156,52082.78,630.154,0,0,0,0,3,27
61,matrix_teleport,4,1,1,1,3472.184,3552.263,80.079,1201.191,53283.97,1201.191,0,0,0,0,3,27
62,matrix_teleport,1,4,4,1,3552.263,3594.273,42.01,630.156,53914.13,630.154,0,0,0,0,3,27
63,matrix_teleport,4,8,8,1,3594.273,3672.485,78.212,1173.176,55087.3,1173.174,0,0,1,0,2,28
64,matrix_teleport,8,4,4,1,3672.485,3743.098,70.613,1059.195,56146.5,1059.195,0,0,0,0,2,28
65,matrix_teleport,4,3,3,1,3743.098,3821.098,78,1169.992,57316.49,1169.993,0,0,0,0,2,28
66,matrix_teleport,3,7,7,1,3821.098,3859.954,38.856,582.848,57899.34,582.847,0,0,1,0,1,29
67,matrix_teleport,7,3,3,1,3859.954,3897.669,37.715,565.731,58465.07,565.731,0,0,0,0,1,29
68,matrix_teleport,3,6,6,1,3897.669,3957.05,59.381,890.707,59355.77,890.708,0,0,1,0,0,30
