leg_index,mode,from_stop_id,to_stop_id,arrived_stop_id,completed,departure_time_seconds,arrival_time_seconds,travel_time_seconds,leg_distance_meters,cumulative_distance_meters,planned_path_distance_meters,path_waypoint_count,boarded_count,dropped_off_count,waiting_count,on_board_count,completed_passenger_count
57,matrix_teleport,8,5,5,1,3127.582,3205.25,77.668,1165.02,48078.75,1165.018,0,1,1,2,4,24
58,matrix_teleport,5,6,6,1,3205.25,3216.827,11.577,173.66,48252.41,173.661,0,1,1,1,4,25
59,matrix_teleport,6,4,4,1,3216.827,3248.532,31.705,475.578,48727.99,475.58,0,0,0,1,4,25
60,matrix_teleport,4,3,3,1,3248.532,3326.532,78,1169.992,49897.98,1169.993,0,0,0,1,4,25
61,matrix_teleport,3,8,8,1,3326.532,3382.979,56.447,846.707,50744.69,846.706,0,0,1,1,3,26
62,matrix_teleport,8,1,1,1,3382.979,3462.613,79.634,1194.512,51939.2,1194.51,0,0,1,1,2,27
63,matrix_teleport,1,3,3,1,3462.613,3480.994,18.381,275.715,52214.92,275.716,0,0,0,1,2,27
64,matrix_teleport,3,5,5,1,3480.994,3528.815,47.821,717.313,52932.23,717.314,0,0,0,1,2,27
65,matrix_teleport,5,7,7,1,3528.815,3564.911,36.096,541.445,53473.68,541.444,0,1,2,0,1,29
66,matrix_teleport,7,1,1,1,3564.911,3584.326,19.415,291.227,53764.9,291.226,0,0,0,0,1,29
67,matrix_teleport,1,8,8,1,3584.326,3659.154,74.828,1122.422,54887.32,1122.422,0,0,0,0,1,29
68,matrix_teleport,8,1,1,1,3659.154,3738.788,79.634,1194.512,56081.84,1194.51,0,0,0,0,1,29
69,matrix_teleport,1,3,3,1,3738.788,3757.169,18.381,275.715,56357.55,275.716,0,0,0,0,1,29
70,matrix_teleport,3,6,6,1,3757.169,3816.55,59.381,890.707,57248.26,890.708,0,0,0,0,1,29
71,matrix_teleport,6,2,2,1,3816.55,3890.188,73.639,1104.582,58352.84,1104.582,0,0,0,0,1,29
72,matrix_teleport,2,4,4,1,3890.188,3929.223,39.034,585.516,58938.36,585.517,0,0,1,0,0,30
